title,company,location,min_amount,max_amount,interval,job_url,description,scraped_date,search_query,application_status,notes,noc_code_guess,bcpnp_tech_eligible
Data Engineer,Shopify,"Vancouver, BC (Remote)",120000,165000,yearly,https://linkedin.com/jobs/1011,python sql spark pyspark airflow dbt snowflake data pipeline etl data warehouse docker kubernetes aws gcp 4+ years experience,2026-02-13,product analyst,New,,21231 (Software Engineers),✅ Yes
Business Intelligence Analyst,Bench Accounting,"Vancouver, BC",75000,95000,yearly,https://linkedin.com/jobs/1012,sql tableau power bi excel data analysis data visualization metrics kpi reporting stakeholder communication 2+ years experience,2026-02-13,data scientist,New,,21223 (Database Analysts),✅ Yes
NLP Engineer,Cohere,"Vancouver, BC (Remote)",140000,190000,yearly,https://linkedin.com/jobs/1013,nlp natural language processing python pytorch transformer bert gpt llm machine learning deep learning rag langchain 4+ years experience master computer science,2026-02-13,data scientist,New,,21211 (Data Scientists),✅ Yes
Data Scientist,Vancouver Coastal Health,"Vancouver, BC",85000,110000,yearly,https://linkedin.com/jobs/1014,python r sql statistical analysis data visualization machine learning regression healthcare data pandas hypothesis testing 3+ years experience bachelor statistics,2026-02-13,data scientist,New,,21211 (Data Scientists),✅ Yes
Growth Analyst,Later (Mavrck),"Vancouver, BC",80000,100000,yearly,https://linkedin.com/jobs/1015,sql python product analytics a/b testing segmentation funnel analysis ltv churn retention metrics kpi looker 2+ years experience,2026-02-13,ML engineer,New,,21221 (Business Systems Specialists),✅ Yes
Senior ML Engineer,D-Wave Systems,"Burnaby, BC",130000,170000,yearly,https://linkedin.com/jobs/1016,machine learning deep learning python pytorch tensorflow quantum computing optimization algorithm docker aws 5+ years experience master computer science,2026-02-13,ML engineer,New,,21211 (Data Scientists),✅ Yes
AI Strategy Consultant,Accenture,"Vancouver, BC",100000,145000,yearly,https://linkedin.com/jobs/1017,ai machine learning consulting strategy stakeholder llm generative ai rag project management cross-functional python sql communication 5+ years experience,2026-02-13,data analyst,New,,21221 (Business Systems Specialists),✅ Yes
"Data Analyst, Marketing",Thinkific,"Vancouver, BC",70000,90000,yearly,https://linkedin.com/jobs/1018,sql python data analysis a/b testing segmentation marketing analytics funnel analysis metrics kpi google analytics excel 2+ years experience,2026-02-13,data analyst,New,,21223 (Database Analysts),✅ Yes
Security Data Analyst,Absolute Software,"Vancouver, BC",90000,120000,yearly,https://linkedin.com/jobs/1019,cybersecurity data analysis python sql anomaly detection machine learning siem security analytics threat intelligence statistical analysis 3+ years experience,2026-02-13,data scientist,New,,21220 (Cybersecurity Specialists),✅ Yes
Research Scientist,Borealis AI (RBC),"Vancouver, BC",120000,160000,yearly,https://linkedin.com/jobs/1020,machine learning deep learning nlp reinforcement learning python pytorch research neural network statistical modeling 4+ years experience phd mathematics computer science,2026-02-13,data analyst,New,,21211 (Data Scientists),✅ Yes
